AC	SHORTLABEL	TAXID
EBI-6405619	strain g54	512566
EBI-6405802	borbo	518
EBI-9020707	pyrye	2788
EBI-6405916	strain 104	243243
EBI-6406189	strain atcc 33913 / 	190485
EBI-9020854	burkholderia xenovorans	36873
EBI-6406470	strain atcc 27591 / 	205921
EBI-9020894	pseudomonas sp. gk16	405038
EBI-9020921	phaeospirillum molischianum	1083
EBI-9021104	thesq	126740
EBI-6420497	pseudomonas aeruginosa atcc 25324	1163393
EBI-6420508	pseudomonas aeruginosa atcc 700888	1163394
EBI-6420542	pseudomonas aeruginosa atcc 14886	1163392
EBI-6420632	klebsiella pneumoniae subsp. pneumoniae ntuh-k2044	484021
EBI-6422007	braja	224911
EBI-6428723	rat-muscularis externa	10116
EBI-6429661	human-jsl1	9606
EBI-6430433	strpa	1114965
EBI-6446257	strr6	171101
EBI-6448497	crigr-cho-c1	10029
EBI-6478330	clod6	272563
EBI-6558101	hv2g1	11717
EBI-6589633	rat-rn33b	10116
EBI-6597269	drome-dopaminergic_neurons	7227
EBI-6599146	11212	11212
EBI-6599163	mumpe	11167
EBI-6600902	measd	11234
EBI-6603313	human-nb4-mr2	9606
EBI-6621166	human-skmm1	9606
EBI-6655136	nicbe-leaf	4100
EBI-6662983	mouse-ehp cells	10090
EBI-6665320	human-h1	9606
EBI-6666697	mouse-brain_hippocampal_neuron	10090
EBI-6676604	mouse-ng108_15	10090
EBI-6690875	human-sk_mel_23	9606
EBI-8755399	astlp	6717
EBI-6859237	human-bmdc	9606
EBI-6859430	human-choriocapillaris	9606
EBI-6860222	fmdvc	12115
EBI-6861537	mouse-myotubes	10090
EBI-6863624	hmpvc	694067
EBI-6878589	human-csc	9606
EBI-6894802	human-sms-kcn	9606
EBI-6897063	human-syncytiotrophoblast	9606
EBI-6900959	human-aska_ss	9606
EBI-8760308	rabit-testis	9986
EBI-6918052	thefy	269800
EBI-6918054	bmnpv	271108
EBI-6918056	aerpe	272557
EBI-6918058	cloab	272562
EBI-6918060	klep7	272620
EBI-6918062	mycle	272631
EBI-6918064	sulto	273063
EBI-6918066	theac	273075
EBI-8767784	escherichia coli str. k-12 substr. mg1655	511145
EBI-6918070	serratia proteamaculans	28151
EBI-6918072	anoca	28377
EBI-6918074	yarli	284591
EBI-8783650	synthetic construct	32630
EBI-6918078	ashgo	284811
EBI-6918080	yeas1	285006
EBI-6918082	amahp	28502
EBI-6918084	dingo	286419
EBI-6918086	hv1la	290579
EBI-6918088	i87a1	293055
EBI-6918090	bactk	29339
EBI-6918092	alkmq	293826
EBI-6918094	azosp	29544
EBI-6918096	vitvi	29760
EBI-6918098	tolin	29910
EBI-6918100	assassin bug	30076
EBI-6918102	pacific herring	30724
EBI-6918104	phoas	314292
EBI-6918106	chlta	315277
EBI-6918108	crpv	31553
EBI-8783741	canga	284593
EBI-8784462	human-hmle_namec	9606
EBI-6918114	hevbu	31767
EBI-6918116	hev-2	31768
EBI-6918118	pardp	318586
EBI-6918120	dasak	31902
EBI-6918122	azovd	322710
EBI-6918124	sheam	326297
EBI-6918126	suhv-1	33703
EBI-6918128	serendipity berry	3457
EBI-6918130	chila	34839
EBI-6918132	natpd	348780
EBI-6918134	urtdi	3501
EBI-6918136	betpn	3505
EBI-6918138	trycc	353153
EBI-6918140	streptomyces sp. kk565	353796
EBI-6918142	mescr	3544
EBI-6918144	xmrv	356664
EBI-6918146	porcr	35688
EBI-6918148	trene	35730
EBI-6918150	papaya	3649
EBI-6918152	triki	3677
EBI-6918154	popca	3690
EBI-8787785	mouse-bcl1	10090
EBI-6918158	grisq	373036
EBI-6918160	xmrv	373193
EBI-6918162	i83a4	380285
EBI-8787981	human-dermal_microvascular	9606
EBI-6918166	psea7	381754
EBI-6918168	strno	38314
EBI-8847269	human-h1975	9606
EBI-6918172	lentil	3864
EBI-6918174	rhilv	387
EBI-6918176	phavu	3885
EBI-6918178	hv192	388812
EBI-6918180	metmi	39152
EBI-6918182	sphww	392499
EBI-6918184	selva ant	39300
EBI-8841777	human-caki_2	9606
EBI-6918188	castor bean	3988
EBI-6918190	stamf	399550
EBI-6918192	in vivo	-4
EBI-6918196	cryptococcus neoformans var. neoformans	40410
EBI-6918198	madagascar periwinkl	4058
EBI-6918200	streptococcus pneumoniae sp14-bs69	406560
EBI-6918202	trebe	40690
EBI-6918204	solpi	4084
EBI-6918206	denv-4	408871
EBI-8853773	mouse-myend	10090
EBI-8871968	borbr	257310
EBI-6918212	cyaa5	43989
EBI-6918214	clobl	441772
EBI-6918216	eleco	4511
EBI-8871997	burta	271848
EBI-6420533	pseudomonas aeruginosa pao579	1191475
EBI-6420700	ecout	364106
EBI-6422020	ruepo	246200
EBI-6422072	rosdo	375451
EBI-6428705	human-circular smooth muscle	9606
EBI-8756439	acism	696844
EBI-6466513	mouse-myocardium	10090
EBI-6480612	human-prostate tissue	9606
EBI-6501231	sinmm	707241
EBI-6502147	leita	5689
EBI-6503541	salmonella enterica subsp. enterica serovar typhimurium str. 798	1008297
EBI-6503897	9acto	52258
EBI-6504048	burps	272560
EBI-6506169	streptococcus pneumoniae ga19998	760802
EBI-6509286	helpg	563041
EBI-6511549	human-ut7	9606
EBI-6513551	drome-adult_brain	7227
EBI-6514683	mouse-brain_substantia nigra	10090
EBI-6516784	helm1	679897
EBI-6530045	human-podocyte	9606
EBI-8762732	human-nci_h1299	9606
EBI-6548013	caeel-body muscle	6239
EBI-8772910	mouse-heart_endothelium	10090
EBI-6556855	human-rpmi2650	9606
EBI-6558242	siv	11723
EBI-6558872	lactc	559295
EBI-6559914	citfr	546
EBI-6570026	human-ccf	9606
EBI-6589606	rat-brain_raphe_nucleus	10116
EBI-8852357	mouse-t-cell_cd4+	10090
EBI-6601042	pprv	31604
EBI-6621069	human-kms12	9606
EBI-6621314	human-utmc2	9606
EBI-6654132	chick-yolk	9031
EBI-6671721	hepatitis c virus subtype 1b	31647
EBI-6674375	hcvjf	356411
EBI-9013751	acidaminococcus fermentans	905
EBI-6676657	rat-oligodendrocyte(immature)	10116
EBI-6690882	human-wm278	9606
EBI-6690900	human-igr-37	9606
EBI-6691677	neobatrachus sudelli	51250
EBI-9013805	themt	2336
EBI-9013970	squac	7797
EBI-6693575	human-u3a	9606
EBI-6838584	hcvbk	11105
EBI-9014068	pyrococcus horikoshii	53953
EBI-9014228	strain atcc 29366 / dsm 635 / j-10-fl	324602
EBI-6859243	human-mddc	9606
EBI-9014330	olima	55676
EBI-9014371	strca	8801
EBI-6862020	human-sw13vim-	9606
EBI-6863199	margl	7609
EBI-6868629	human-huh-7.5	9606
EBI-6878725	foot-and-mouth disease virus - type o	12118
EBI-6880657	mouse-medulloblastoma	10090
EBI-6895098	mouse-neuroblastoma	10090
EBI-6898396	human-nasal_mucosa	9606
EBI-6900957	human-yomoto_ss	9606
EBI-6915324	rat-ab120	10114
EBI-6917515	influenza a virus (a/moscow/10/1999(h3n2))	480019
EBI-6917796	pseudomonas sp. dsm 6611	1007495
EBI-6917798	triad	10228
EBI-6917800	vaccinia virus	10245
EBI-6917802	hhv-1	10306
EBI-6917806	ehv-4	10333
EBI-6917808	hhv-3	10338
EBI-6917810	hhv-5	10359
EBI-9014373	anas boschas	8839
EBI-6917814	asfv	10497
EBI-6917816	ade07	10519
EBI-6917818	hadv-9	10527
EBI-6917820	hadv-31	10529
EBI-6917822	fadv-1	10553
EBI-6917824	bpv1	10559
EBI-6917826	hpv08	10579
EBI-6917828	hpv31	10585
EBI-9014374	coturnix japonica	93934
EBI-6917832	hpv45	10593
EBI-6917834	hpv58	10598
EBI-6917836	hpv6b	10600
EBI-6917838	hpv03	10614
EBI-6917840	kappapapillomavirus 2	10623
EBI-6917842	hapyv	10626
EBI-6917844	jcpyv	10632
EBI-9014417	goat	9925
EBI-6917848	povm3	10635
EBI-6917850	povma	10636
EBI-6917852	povmc	10637
EBI-6917854	camv	10643
EBI-6917856	bp434	10712
EBI-6917858	corom	10714
EBI-6917860	clostridium perfringens d	107819
EBI-6917862	mvm	10794
EBI-6917864	thioalkalivibrio paradoxus	108010
EBI-6917866	bpg4	10843
EBI-9014484	bubbu	89462
EBI-6917870	bppf3	10872
EBI-6917872	pachyrhizus erosus	109171
EBI-6917874	hcv1	11104
EBI-6917876	hcvja	11116
EBI-6917878	hcov-229e	11137
EBI-9014506	rose-ringed parakeet	9228
EBI-6917882	vsiv	11285
EBI-6917884	thielavia arenaria	113610
EBI-6917886	syny4	1147
EBI-6917888	i84a1	11484
EBI-6917890	lasv	11622
EBI-6917892	hv112	11679
EBI-6917894	hv1a2	11685
EBI-6917896	hv1br	11686
EBI-6917898	hv1el	11689
EBI-6917900	hv1s1	11691
EBI-9014507	ptegi	143291
EBI-6917904	hv1mn	11696
EBI-6917906	hv1h3	11707
EBI-6917908	hv1z6	11708
EBI-6917910	bstv	117138
EBI-9014508	camdr	9838
EBI-9014509	chrbr	68728
EBI-9014510	musgr	89020
EBI-9015493	perfv	8167
EBI-6416555	bartonella tribocoru	85701
EBI-6416556	rochalimaea henselae	283166
EBI-6416670	erwst	66271
EBI-6416867	streptococcus agalac	1311
EBI-6417280	vibvu	216895
EBI-6417585	strgr	1911
EBI-6417586	strain jcm 4626 / nb	455632
EBI-6418089	strtd	322159
EBI-6418694	strain atcc 17978 / 	400667
EBI-6418794	paenibacillus sp. ny	980079
EBI-6418886	psepf	205922
EBI-6419018	rhodobacter sphaeroides ws8n	992186
EBI-6419723	myctu	83332
EBI-6419955	yerps	273123
EBI-6420079	strain atcc 13939 / 	243230
EBI-6422034	oceanicola batsensis htcc2597	252305
EBI-6430601	sulsh	2286
EBI-6449798	hhv1	10298
EBI-6468253	human-kyse-410	9606
EBI-6469797	arthrobacter sp. rue61a	1118963
EBI-6504457	human-pineal_gland	9606
EBI-6515077	mycmo	267748
EBI-6515334	salt1	588858
EBI-6516060	brume	224914
EBI-6550864	mouse-hematopoietic progenitors	10090
EBI-6552399	mouse-embryonic_testis	10090
EBI-6557604	human-y7	9606
EBI-6557687	human-nucleus pulposus	9606
EBI-6558103	sivsp	11738
EBI-6558359	human-hutu80	9606
EBI-6599535	rind-sa	11241
EBI-6600909	cdvo	11233
EBI-6601011	rindr	36409
EBI-6601054	canine distemper virus	11232
EBI-6620031	pyrab	272844
EBI-6656988	conge	6491
EBI-6676615	mouse-tg40	10090
EBI-6664561	mouse-mle12	10090
EBI-6669702	orysi	39946
EBI-6678009	human-vaco481	9606
EBI-6678106	rat-oligodendryte_precursor	10116
EBI-6691460	human-a375p	9606
EBI-6692342	rat-serum	10116
EBI-6693906	tosv	11590
EBI-6726153	emcv	12104
EBI-6859926	myxvl	31530
EBI-6860296	bovin-lfbk	9913
EBI-6867749	mouse-myoblast	10090
EBI-6874990	crynh	235443
EBI-6880566	human-d283med	9606
EBI-6900147	mouse-bd8	10090
EBI-6900347	mouse-bd3	10090
EBI-6902355	rat-b35	10116
EBI-6915282	rat-ab115	10114
EBI-6916071	mouse-sciatic_nerve	10090
EBI-6917916	mlvav	11791
EBI-6917918	shewanella sp. sib1	117911
EBI-6917920	artpt	118562
EBI-6917922	avimc	11868
EBI-6917924	avisc	11878
EBI-6917926	avis2	11879
EBI-6917928	rsvh1	11887
EBI-6917930	rsv-prc	11888
EBI-6917934	pol1s	12082
EBI-6917936	sesbania mosaic virus	12558
EBI-6917938	rumal	1264
EBI-6917940	vacv	126794
EBI-6917942	miclu	1270
EBI-6917944	galsu	130081
EBI-6917946	bacce	1396
EBI-6917948	bacci	1397
EBI-6917950	bacli	1402
EBI-6917952	bacme	1404
EBI-6917954	rdva	142803
EBI-6917956	maggr	148305
EBI-6917958	clobo	1491
EBI-6917960	closo	1505
EBI-6917962	human herpesvirus 3 vzv-32	154633
EBI-6917964	phlpr	15957
EBI-6917966	xylfa	160492
EBI-6917968	emend	162425
EBI-6917970	metme	17
EBI-6917972	i00a0	176674
EBI-6917974	crynv	178876
EBI-6917976	giaic	184922
EBI-6917978	strao	1887
EBI-6917980	metac	188937
EBI-6917982	strat	1890
EBI-6917984	scorpion	190110
EBI-6917986	strli	1916
EBI-6917988	azobr	192
EBI-6917990	metma	192952
EBI-6917992	strte	1932
EBI-6917994	chlte	194439
EBI-6917996	streptomyces sp. x-119-6	196112
EBI-6917998	vibvy	196600
EBI-6918000	oxyno	200597
EBI-6918002	thevu	2026
EBI-6918004	pseab	208963
EBI-6918006	apmv	212035
EBI-6918008	crynj	214684
EBI-6918010	bifln	216816
EBI-6918012	metmz	2209
EBI-6918014	sars-cov	227859
EBI-6918016	pedv	229032
EBI-6918018	bacp3	2334
EBI-6918020	actsk	237531
EBI-6918022	ustma	237631
EBI-6918024	copc7	240176
EBI-6918026	paramecium bursaria chlorella virus an69c	240269
EBI-6918028	mamushi	242054
EBI-6918030	porgi	242619
EBI-6918032	chrvo	243365
EBI-6918034	glovi	251221
EBI-6918036	cordi	257309
EBI-6918040	borpe	257313
EBI-6918042	flavobacterium frigidimaris	262320
EBI-6918044	bruab	262698
EBI-6918046	cpv	265872
EBI-6918218	sugarcane	4547
EBI-6918222	hadv-3	45659
EBI-6918226	oreau	47969
EBI-6918230	hbv-a	480116
EBI-6918236	aspor	510516
EBI-6918238	turnip	51350
EBI-6918242	theon	523850
EBI-6918246	crepe jasmine	52861
EBI-6918250	yeas6	545124
EBI-6918254	sponge	55567
EBI-6918260	trybb	5702
EBI-6918264	acinetobacter baumannii atcc 19606 = cip 70.34	575584
EBI-6918270	plavi	5855
EBI-6918274	tamarind	58860
EBI-8746674	xenla-ovum	8355
EBI-8757148	human-rg37	9606
EBI-6918284	taeso	6204
EBI-6918286	ascsu	6253
EBI-8757218	human-crl_2261	9606
EBI-6918296	aerhy	644
EBI-6918300	aav-2	648242
EBI-6918304	conte	6494
EBI-6918306	lymst	6523
EBI-8762632	human-nci_h28	9606
EBI-6918314	homga	6707
EBI-6918318	mangrove horseshoe c	6848
EBI-8768835	human-priess	9606
EBI-6918328	ecocb	701177
EBI-6918332	phopy	7054
EBI-6918336	m28 virus	70698
EBI-6918340	bommo	7091
EBI-6918344	aiv	72149
EBI-6918348	haeif	727
EBI-6918352	vipae	73841
EBI-6918356	mimpu	76306
EBI-8769112	rhort	269796
EBI-6918364	cioin	7719
EBI-6918370	salsa	8030
EBI-6918374	thuth	8237
EBI-8769159	aeqvi	6100
EBI-6918384	bunmu	8616
EBI-6918388	monocled cobra	8649
EBI-6918392	pican	870730
EBI-6918398	klebsiella oxytoca 10-5250	883125
EBI-6918400	bar-headed goose	8846
EBI-6918406	entf6	936153
EBI-8769864	human-hcc827	9606
EBI-6918412	calmo	9523
EBI-6918416	papcy	9556
EBI-8772198	human-cutll1	9606
EBI-8783766	zygrc	559307
EBI-6918428	donkey	9793
EBI-6918432	leidb	981087
EBI-6918622	enccu	284813
EBI-8785219	cantt	294747
EBI-8793704	human-ph5ch8	9606
EBI-6923148	human-nci_h441	9606
EBI-6923150	human-nih-sr	9606
EBI-6923152	human-nkl	9606
EBI-6923154	human-npc/hk1	9606
EBI-6923156	human-p2.1	9606
EBI-6923160	human-panc89	9606
EBI-6923162	human-paxc002	9606
EBI-6923164	human-pel cells, bc3	9606
EBI-6923166	human-plat-e	9606
EBI-6923168	human-ptc	9606
EBI-6923170	human-qbi-293	9606
EBI-6923172	human-qt_6	9606
EBI-6923174	human-ramos b	9606
EBI-6923176	human-rd	9606
EBI-6923178	human-sf-1	9606
EBI-6923180	human-sg231	9606
EBI-8822329	human-nci_h295r	9606
EBI-6923186	human-sk-n-sh	9606
EBI-6923188	human-sma	9606
EBI-6923190	human-snu-16	9606
EBI-6923192	human-sw48	9606
EBI-6923194	human-tig3-t	9606
EBI-8844894	mouse-d2	10090
EBI-6923198	human-u373	9606
EBI-6923200	human-whco6	9606
EBI-6923202	human-wm35	9606
EBI-6923204	human-xp-f	9606
EBI-6923206	human-y79	9606
EBI-6923208	canlf-cf2th	9615
EBI-6923210	muslu-mv1lu	9666
EBI-6923212	pig-cl4	9823
EBI-6923214	pig-ln_229	9823
EBI-6923216	pig-pae/kdr	9823
EBI-6923218	bovine-baec	9913
EBI-8876127	human-sf188	9606
EBI-6925227	human-clb_sav	9606
EBI-9009151	staam	158878
EBI-6929768	human-chp212	9606
EBI-6931687	macmu-cytotrophoblast	9544
EBI-6931745	human-bewo	9606
EBI-6931765	human-jar	9606
EBI-6932355	human-caki_1	9606
EBI-6932607	human-mls_2645_94	9606
EBI-6932612	human-mls_402_91	9606
EBI-8697785	bacie	439292
EBI-8746507	canax	5476
EBI-9009583	archaeoglobus fulgidus	2234
EBI-9009689	aequipecten irradians	31199
EBI-9009877	slime mold	5791
EBI-9009905	plamg	6577
EBI-9009943	ommastrephes pacificus	6637
EBI-9009999	bacteriophage q-beta	39803
EBI-9010153	acinetobacter baumannii	470
EBI-9010172	pelobacter acidigallici	35816
EBI-9010461	rhoac	1074
EBI-9010481	alcaligenes faecalis	511
EBI-9010720	corynebacterium sp. u-96	31944
EBI-9010891	theai	2303
EBI-9011138	echca	40353
EBI-9011220	nanoarchaeum equitans	160232
EBI-9011266	microsporidian parasite	6035
EBI-9011348	aeribacillus pallidus	33936
EBI-9011744	moritella profunda	111291
EBI-9011818	butea parviflora	132465
EBI-6918620	kleok	1006551
EBI-6922525	mouse-amygdala	10090
EBI-6922527	mouse-bmdm	10090
EBI-6922529	mouse-bmsc	10090
EBI-6922531	mouse-cardiac myocyt	10090
EBI-6922535	mouse-cerebellum gra	10090
EBI-6922537	mouse-chondrocytes	10090
EBI-6922540	mouse-dorsal root ga	10090
EBI-6922546	mouse-endothelioma	10090
EBI-6922548	mouse-glial cells	10090
EBI-6922550	mouse-hemopoietic	10090
EBI-6922552	mouse-lens fiber cel	10090
EBI-6922554	mouse-locus coeruleu	10090
EBI-6922556	mouse-midbrain neuro	10090
EBI-6922558	mouse-motor neurons	10090
EBI-6922560	mouse-nasal epitheli	10090
EBI-6922562	mouse-olfactory bulb	10090
EBI-6922564	mouse-olfactory sens	10090
EBI-6922566	mouse-oligodendrocyt	10090
EBI-6922568	mouse-placenta	10090
EBI-6922570	mouse-podocyte	10090
EBI-6922572	mouse-pro b cells	10090
EBI-6922574	mouse-schwann	10090
EBI-6922576	mouse-small intestin	10090
EBI-6922578	mouse-spermatocyte	10090
EBI-6922580	mouse-spermatogenic 	10090
EBI-6922582	mouse-splenic b cell	10090
EBI-6922584	mouse-striatum	10090
EBI-6922586	mouse-telencephalon	10090
EBI-6922588	mouse-transgenic len	10090
EBI-6922590	rat-brain-hippocampu	10116
EBI-6922592	rat-brain synaptosom	10116
EBI-6922594	rat-cardiac muscle	10116
EBI-6922596	rat-cardiac myocyte	10116
EBI-6922598	rat-cereberal_hippoc	10116
EBI-6922600	rat-cerebral_cortica	10116
EBI-6922602	rat-cgnp	10116
EBI-6922604	rat-choroid plexus	10116
EBI-6922606	rat-cochlea	10116
EBI-6922608	rat-fibroblast	10116
EBI-6922610	rat-forebrain	10116
EBI-6922614	rat-glioma	10116
EBI-6922616	rat-brain_hypothalamus	10116
EBI-6922618	rat-mesangial cells	10116
EBI-6922620	rat-motor neurons	10116
EBI-6922622	rat-myocytes	10116
EBI-6922624	rat-outer medulla	10116
EBI-6922626	rat-parotid glands	10116
EBI-6922628	rat-primary cerebell	10116
EBI-6922630	rat-renal cortex	10116
EBI-6922632	rat-retina	10116
EBI-6922634	rat-striatum	10116
EBI-6922636	rat-striatal neurons	10116
EBI-6922638	rat-synaptosome	10116
EBI-6922640	rat-ventral midbrain	10116
EBI-6922642	vitvi-protoplast	29760
EBI-6922648	common tobacco-epide	4097
EBI-6922650	nicbe-leaf_epidermis	4100
EBI-6922652	onion-epidermis	4679
EBI-6922654	caeel-nerve_cord	6239
EBI-6922656	bommo-bmn	7091
EBI-6922658	drome-embryonic_ventral_nerve	7227
EBI-6922660	drome-bronchial_epithelium	7227
EBI-6922662	drome-eye_imaginal_disc	7227
EBI-6922664	drome-follicle	7227
EBI-6922666	drome-larval_body_wall	7227
EBI-6922668	drome-larval _immaginal_disc	7227
EBI-6922670	drome-neuron	7227
EBI-6922672	drome-optic lobe	7227
EBI-6922674	drome-preblastoderm	7227
EBI-6922676	drome-pupal_brain	7227
EBI-6922678	danre-oocyte	7955
EBI-6922680	danre-testis	7955
EBI-6922682	xenla-	8355
EBI-6922684	chick-brain	9031
EBI-6922686	chick-cgnp	9031
EBI-6922688	chick-retina	9031
EBI-6922690	macfa-kidney	9541
EBI-6922694	human-bronchial_epithelial	9606
EBI-6922696	human-embryonic neur	9606
EBI-6922698	human-hbmec	9606
EBI-6922700	human-lymphocyte	9606
EBI-6922702	human-microglial cel	9606
EBI-6922706	human-myoblast	9606
EBI-6922708	human-osteoclast	9606
EBI-6922710	human-smooth muscle	9606
EBI-6922712	human-somatic_stem_c	9606
EBI-6922714	human-spermatozoa	9606
EBI-6922716	human-t cells cd 4+	9606
EBI-6922718	human-testis	9606
EBI-6922720	canlf-kidney	9615
EBI-6922722	pig-nucleus caudatus	9823
EBI-6922724	bovine-chromaffin_ce	9913
EBI-6922726	bovine-rod outer seg	9913
EBI-6922728	bovine-spermatozoa	9913
EBI-6922730	rabbit-kidney glomer	9986
EBI-6922732	crigr-ccl39	10029
EBI-6922734	crigr-cho9	10029
EBI-6922736	crigr-ir	10029
EBI-6922738	crigr-chop	10029
EBI-6922742	crigr-cho_ts41	10029
EBI-6922744	crigr-cigfr_m	10029
EBI-6922748	mouse-16hbe 14o	10090
EBI-6922750	mouse-18-81 murine p	10090
EBI-6922752	mouse-a20	10090
EBI-6922754	mouse-alpha t3-1	10090
EBI-6922756	mouse-b16-f1	10090
EBI-6922758	mouse-b22	10090
EBI-6922760	mouse-b35	10090
EBI-6922762	mouse-baf3	10090
EBI-6922764	mouse-bat	10090
EBI-6922766	mouse-bl-151	10090
EBI-8785289	lodel	379508
EBI-6922770	mouse-c-127	10090
EBI-6922772	mouse-c33a	10090
EBI-6922774	mouse-c6	10090
EBI-6922776	mouse-cce-es	10090
EBI-6922778	mouse-cgns	10090
EBI-11295817	Bovine herpesvirus 1	10320
EBI-8787787	mouse-bcl1r	10090
EBI-8790405	rat-colon	10116
EBI-8839382	manse-gv1	7130
EBI-11296413	bovin-fbt cells	9913
EBI-9011873	ioxylon pomiferum	3496
EBI-9012040	clostridium sticklandii	1511
EBI-11358596	Dinoflagellate	2961
EBI-11581222	human-gm9607	9606
EBI-9012095	hyphomicrobium denitrificans	53399
EBI-9012117	profl	88087
EBI-9012167	dengue virus 4	11070
EBI-9012261	sphingomonas yanoikuyae	13690
EBI-9012284	flask	261
EBI-9012401	desde	876
EBI-6922810	mouse-hc11	10090
EBI-6922812	mouse-hepa1-6	10090
EBI-6922814	mouse-hl-1	10090
EBI-6922816	mouse-hppl	10090
EBI-6922818	mouse-imcd	10090
EBI-6922820	mouse-jb6	10090
EBI-6922822	mouse-kkf	10090
EBI-6922824	mouse-krebs-2	10090
EBI-6922826	mouse-l12	10090
EBI-6922828	mouse-lncap	10090
EBI-6922830	mouse-l/stab-2	10090
EBI-6922832	mouse-mc3t3-e1	10090
EBI-6922834	mouse-mc/9	10090
EBI-6922836	mouse-meec	10090
EBI-11694364	human-n114p2	9606
EBI-6922840	mouse-mel-1	10090
EBI-6922842	mouse-mel75acl.19	10090
EBI-6922844	mouse-mlecs	10090
EBI-6922846	mouse-nie-115	10090
EBI-6922848	mouse-nih 3t3-l1	10090
EBI-6922850	mouse-nr6wt	10090
EBI-6922852	mouse-raw-1	10090
EBI-6922854	mouse-s49	10090
EBI-6922856	mouse-scc-1	10090
EBI-6922858	mouse-skov_3	10090
EBI-6922860	mouse-sma	10090
EBI-6922862	mouse-syf embryonic 	10090
EBI-6922864	rat-a7r5	10116
EBI-6922866	rat-b104 neuroblasto	10116
EBI-9012460	artocarpus integrifolia	3490
EBI-6922870	rat-c33a	10116
EBI-6922872	rat-c58	10116
EBI-6922874	rat-clone9	10116
EBI-6922876	rat-cpec	10116
EBI-6922878	rat-cref	10116
EBI-6922880	rat-eker ref	10116
EBI-6922882	rat-f111	10116
EBI-6922884	rat-h19-7	10116
EBI-6922886	rat-hirc-1	10116
EBI-6922888	rat-hircb	10116
EBI-6922890	rat-iec18	10116
EBI-9012480	mooth	1525
EBI-11657692	human-kelly	9606
EBI-6922896	rat-nrp-152	10116
EBI-6922898	rat-rgc5	10116
EBI-6922900	rat-rin-m5f	10116
EBI-6922902	rat-st15a	10116
EBI-6922904	rat-vsmc	10116
EBI-6922906	didelphimorphia-ok	38605
EBI-6922908	slime mold-ax4	44689
EBI-6922910	baker's yeast-4l	4932
EBI-6922912	baker's yeast-ah 109	4932
EBI-6922914	baker's yeast-egy48	4932
EBI-6922916	baker's yeast-l40	4932
EBI-9012585	calrh	8717
EBI-6922920	baker's yeast-mex 67	4932
EBI-9012607	glovo	33072
EBI-9012625	micdp	1197
EBI-11701745	EHV-1	31520
EBI-6922928	562-rosetta ii de3	562
EBI-6922930	spofr-sf900	7108
EBI-6922932	drome-ocs cells	7227
EBI-11702747	ehv1k	10329
EBI-6922938	xenla-csf	8355
EBI-9012647	grach	2775
EBI-9012795	conferva urceolata	65404
EBI-6922946	chlae-cos	9534
EBI-6922948	human-16hbe 14o	9606
EBI-6922950	human-1br3	9606
EBI-6922952	human-1haeo	9606
EBI-6922954	human-220	9606
EBI-6922956	human-293 ebna	9606
EBI-6922958	human-293et	9606
EBI-6922960	human-293f	9606
EBI-6922962	human-293 flp-in	9606
EBI-6922964	human-293ilr	9606
EBI-11793747	Human papillomavirus type 35	10587
EBI-6922968	human-2r-75-1	9606
EBI-6922970	human-48br	9606
EBI-6922972	human-5637	9606
EBI-6922974	human-a12h9	9606
EBI-6922976	human-ag02603	9606
EBI-6922978	human-ags-b	9606
EBI-6922980	human-alt	9606
EBI-6922982	human-atld2	9606
EBI-6922984	human-brk	9606
EBI-9012919	lumbah	4676
EBI-6922988	human-caco	9606
EBI-6922990	human-cad	9606
EBI-6922992	human-cf15	9606
EBI-6922994	human-cfbe	9606
EBI-6922996	human-ch7c17 t cells	9606
EBI-6922998	human-chang liver ce	9606
EBI-6923000	human-chrf	9606
EBI-6923002	human-cne	9606
EBI-6923004	human-d54	9606
EBI-6923006	human-dko	9606
EBI-9012964	synechocystis sp.	1143
EBI-9012992	pseme	300
EBI-11793814	Influenza A virus (strain A/Turkey/Canada/1963 H6N8)	387262
EBI-11793848	isolate Zaire EL subtype B	39015
EBI-6918220	rye	4550
EBI-6918224	rhizoctonia solani	456999
EBI-6918228	morca	480
EBI-6918232	hbvd3	490133
EBI-6918234	in silico	-5
EBI-6918240	hypje	51453
EBI-6918248	phach	5306
EBI-6918252	strvz	54571
EBI-6918256	leido	5661
EBI-6918258	cyphastrea microphthalma	570133
EBI-6918262	giain	5741
EBI-6918266	enthi	5759
EBI-6918268	provu	585
EBI-6918272	varv	587200
EBI-6918276	spot	59837
EBI-6918282	fashe	6192
EBI-6918288	sphingobium sp. syk-6	627192
EBI-6918292	medicinal leech	6421
EBI-6918294	yeas8	643680
EBI-6918298	picpg	644223
EBI-6918302	bmdnv-3	648412
EBI-6918308	metaq	655827
EBI-6918316	vibmi	674
EBI-6918320	theko	69014
EBI-6918324	soft tick	6938
EBI-6918326	desert locust	7010
EBI-6918330	mev	70146
EBI-6918334	tenmo	7067
EBI-6918338	red flour beetle	7070
EBI-6918342	antpe	7119
EBI-6918346	drole	7225
EBI-6918350	oat sterile dwarf virus	73147
EBI-6918354	pacda	75988
EBI-6918358	yeasa	764097
EBI-6918362	uncultured bacterium	77133
EBI-6918366	xanp2	78245
EBI-6918368	ictpu	7998
EBI-6918372	popcn	80863
EBI-6918380	cropo	8502
EBI-6918382	athv-3	85618
EBI-6918386	denan	8618
EBI-6918390	australian taipan	8667
